#Material name, surface folder, Hamaker file, default shape,LJ cutoff
AuFCC100-pmfp,surface-pmfp/AuFCC100-pmfp,hamaker-pmfp/AuFCC100-PMFP.dat,1,1
CdSeWurtzite2-10-pmfp,surface-pmfp/CdSeWurtzite2-10-pmfp,hamaker-pmfp/CdSeWurtzite2-10-PMFP.dat,1,1
Rutile-100-old-pmfp,surface-pmfp/Rutile-100-old-pmfp,hamaker-pmfp/Rutile-100-old-PMFP.dat,1,1
CNT15-pmfp,surface-pmfp/CNT15-pmfp,hamaker-pmfp/CNT15-PMFP.dat,4,1
mwCNT15-pmfp,surface-pmfp/CNT15-pmfp,hamaker-pmfp/CNT15-PMFP.dat,5,1
CNT15-COOH-30-pmfp,surface-pmfp/CNT15-COOH-30-pmfp,hamaker-pmfp/CNT15-COOH-30-PMFP.dat,4,1
mwCNT15-COOH-30-pmfp,surface-pmfp/CNT15-COOH-30-pmfp,hamaker-pmfp/CNT15-COOH-30-PMFP.dat,5,1
CNT15-COOH-3-pmfp,surface-pmfp/CNT15-COOH-3-pmfp,hamaker-pmfp/CNT15-COOH-3-PMFP.dat,4,1
mwCNT15-COOH-3-pmfp,surface-pmfp/CNT15-COOH-3-pmfp,hamaker-pmfp/CNT15-COOH-3-PMFP.dat,5,1
CNT15-COO--10-pmfp,surface-pmfp/CNT15-COO--10-pmfp,hamaker-pmfp/CNT15-COO--10-PMFP.dat,4,1
mwCNT15-COO--10-pmfp,surface-pmfp/CNT15-COO--10-pmfp,hamaker-pmfp/CNT15-COO--10-PMFP.dat,5,1
CNT15-COO--3-pmfp,surface-pmfp/CNT15-COO--3-pmfp,hamaker-pmfp/CNT15-COO--3-PMFP.dat,4,1
mwCNT15-COO--3-pmfp,surface-pmfp/CNT15-COO--3-pmfp,hamaker-pmfp/CNT15-COO--3-PMFP.dat,5,1
CNT15-NH2-14-pmfp,surface-pmfp/CNT15-NH2-14-pmfp,hamaker-pmfp/CNT15-NH2-14-PMFP.dat,4,1
mwCNT15-NH2-14-pmfp,surface-pmfp/CNT15-NH2-14-pmfp,hamaker-pmfp/CNT15-NH2-14-PMFP.dat,5,1
CNT15-NH2-2-pmfp,surface-pmfp/CNT15-NH2-2-pmfp,hamaker-pmfp/CNT15-NH2-2-PMFP.dat,4,1
mwCNT15-NH2-2-pmfp,surface-pmfp/CNT15-NH2-2-pmfp,hamaker-pmfp/CNT15-NH2-2-PMFP.dat,5,1
CNT15-NH3+-4-pmfp,surface-pmfp/CNT15-NH3+-4-pmfp,hamaker-pmfp/CNT15-NH3+-4-PMFP.dat,4,1
mwCNT15-NH3+-4-pmfp,surface-pmfp/CNT15-NH3+-4-pmfp,hamaker-pmfp/CNT15-NH3+-4-PMFP.dat,5,1
CNT15-NH3+-2-pmfp,surface-pmfp/CNT15-NH3+-2-pmfp,hamaker-pmfp/CNT15-NH3+-2-PMFP.dat,4,1
mwCNT15-NH3+-2-pmfp,surface-pmfp/CNT15-NH3+-2-pmfp,hamaker-pmfp/CNT15-NH3+-2-PMFP.dat,5,1
CNT15-OH-14-pmfp,surface-pmfp/CNT15-OH-14-pmfp,hamaker-pmfp/CNT15-OH-14-PMFP.dat,4,1
mwCNT15-OH-14-pmfp,surface-pmfp/CNT15-OH-14-pmfp,hamaker-pmfp/CNT15-OH-14-PMFP.dat,5,1
CNT15-OH-4-pmfp,surface-pmfp/CNT15-OH-4-pmfp,hamaker-pmfp/CNT15-OH-4-PMFP.dat,4,1
mwCNT15-OH-4-pmfp,surface-pmfp/CNT15-OH-4-pmfp,hamaker-pmfp/CNT15-OH-4-PMFP.dat,5,1
graphene-pmfp,surface-pmfp/graphene-pmfp,hamaker-pmfp/graphene-PMFP.dat,1,1
bi-graphene-pmfp,surface-pmfp/bi-graphene-pmfp,hamaker-pmfp/bi-graphene-PMFP.dat,1,1
tri-graphene-pmfp,surface-pmfp/tri-graphene-pmfp,hamaker-pmfp/tri-graphene-PMFP.dat,1,1
grapheneoxide-pmfp,surface-pmfp/grapheneoxide-pmfp,hamaker-pmfp/grapheneoxide-PMFP.dat,1,1
redgrapheneoxide-pmfp,surface-pmfp/redgrapheneoxide-pmfp,hamaker-pmfp/redgrapheneoxide-PMFP.dat,1,1
C-amorph-2-pmfp,surface-pmfp/C-amorph-2-pmfp,hamaker-pmfp/C-amorph-2-PMFP.dat,1,1
Fe2O3-001O-pmfp,surface-pmfp/Fe2O3-001O-pmfp,hamaker-pmfp/Fe2O3-001O-PMFP.dat,1,1
SiO2-Quartz-pmfp,surface-pmfp/SiO2-Quartz-pmfp,hamaker-pmfp/SiO2-Quartz-PMFP.dat,1,1
SiO2-Amorphous-pmfp,surface-pmfp/SiO2-Amorphous-pmfp,hamaker-pmfp/SiO2-Amorphous-PMFP.dat,1,1
TiO2-ana-100-pmfp,surface-pmfp/TiO2-ana-100-pmfp,hamaker-pmfp/TiO2-ana-100-PMFP.dat,1,1
TiO2-rut-110-pmfp,surface-pmfp/TiO2-rut-110-pmfp,hamaker-pmfp/TiO2-rut-110-PMFP.dat,1,1
TiO2-rut-100-pmfp,surface-pmfp/TiO2-rut-100-pmfp,hamaker-pmfp/TiO2-rut-100-PMFP.dat,1,1
TiO2-ana-101-pmfp,surface-pmfp/TiO2-ana-101-pmfp,hamaker-pmfp/TiO2-ana-101-PMFP.dat,1,1
Ag111-pmfp,surface-pmfp/Ag111-pmfp,hamaker-pmfp/Ag111-PMFP.dat,1,1
Ag110-pmfp,surface-pmfp/Ag110-pmfp,hamaker-pmfp/Ag110-PMFP.dat,1,1
Ag100-pmfp,surface-pmfp/Ag100-pmfp,hamaker-pmfp/Ag100-PMFP.dat,1,1
AlFCC100UCD-pmfp,surface-pmfp/AlFCC100UCD-pmfp,hamaker-pmfp/AlFCC100UCD-PMFP.dat,1,1
AlFCC110UCD-pmfp,surface-pmfp/AlFCC110UCD-pmfp,hamaker-pmfp/AlFCC110UCD-PMFP.dat,1,1
AlFCC111UCD-pmfp,surface-pmfp/AlFCC111UCD-pmfp,hamaker-pmfp/AlFCC111UCD-PMFP.dat,1,1
AuFCC100UCD-pmfp,surface-pmfp/AuFCC100UCD-pmfp,hamaker-pmfp/AuFCC100UCD-PMFP.dat,1,1
AuFCC110UCD-pmfp,surface-pmfp/AuFCC110UCD-pmfp,hamaker-pmfp/AuFCC110UCD-PMFP.dat,1,1
AuFCC111UCD-pmfp,surface-pmfp/AuFCC111UCD-pmfp,hamaker-pmfp/AuFCC111UCD-PMFP.dat,1,1
AuFCC100-Ablate0-pmfp,surface-pmfp/AuFCC100-Ablate0-pmfp,hamaker-pmfp/AuFCC100-Ablate0-PMFP.dat,1,1
AuFCC100-Ablate5-pmfp,surface-pmfp/AuFCC100-Ablate5-pmfp,hamaker-pmfp/AuFCC100-Ablate5-PMFP.dat,1,1
AuFCC100-Ablate25-pmfp,surface-pmfp/AuFCC100-Ablate25-pmfp,hamaker-pmfp/AuFCC100-Ablate25-PMFP.dat,1,1
AuFCC100-Ablate50-pmfp,surface-pmfp/AuFCC100-Ablate50-pmfp,hamaker-pmfp/AuFCC100-Ablate50-PMFP.dat,1,1
AuFCC100-Ablate75-pmfp,surface-pmfp/AuFCC100-Ablate75-pmfp,hamaker-pmfp/AuFCC100-Ablate75-PMFP.dat,1,1
AuFCC100-Ablate100-pmfp,surface-pmfp/AuFCC100-Ablate100-pmfp,hamaker-pmfp/AuFCC100-Ablate100-PMFP.dat,1,1
GoldBrush-pmfp,surface-pmfp/GoldBrush-pmfp,hamaker-pmfp/GoldBrush-PMFP.dat,1,1
CaO001-pmfp,surface-pmfp/CaO001-pmfp,hamaker-pmfp/CaO001-PMFP.dat,1,1
Pt001-pmfp,surface-pmfp/Pt001-pmfp,hamaker-pmfp/Pt001-PMFP.dat,1,1
TricalciumSilicate001-pmfp,surface-pmfp/TricalciumSilicate001-pmfp,hamaker-pmfp/TricalciumSilicate001-PMFP.dat,1,1
Au-001-PE-pmfp,surface-pmfp/Au-001-PE-pmfp,hamaker-pmfp/Au-001-PE-PMFP.dat,1,1
Au-001-PEG-pmfp,surface-pmfp/Au-001-PEG-pmfp,hamaker-pmfp/Au-001-PEG-PMFP.dat,1,1
Al2O3-001-pmfp,surface-pmfp/Al2O3-001-pmfp,hamaker-pmfp/Al2O3-001-PMFP.dat,1,1
Cr2O3-001-pmfp,surface-pmfp/Cr2O3-001-pmfp,hamaker-pmfp/Cr2O3-001-PMFP.dat,1,1
Ce-001-pmfp,surface-pmfp/Ce-001-pmfp,hamaker-pmfp/Ce-001-PMFP.dat,1,1
Fe001-pmfp,surface-pmfp/Fe001-pmfp,hamaker-pmfp/Fe001-PMFP.dat,1,1
Fe110-pmfp,surface-pmfp/Fe110-pmfp,hamaker-pmfp/Fe110-PMFP.dat,1,1
Fe111-pmfp,surface-pmfp/Fe111-pmfp,hamaker-pmfp/Fe111-PMFP.dat,1,1
Cu001-pmfp,surface-pmfp/Cu001-pmfp,hamaker-pmfp/Cu001-PMFP.dat,1,1
Cu110-pmfp,surface-pmfp/Cu110-pmfp,hamaker-pmfp/Cu110-PMFP.dat,1,1
Cu111-pmfp,surface-pmfp/Cu111-pmfp,hamaker-pmfp/Cu111-PMFP.dat,1,1
C-amorph-1-pmfp,surface-pmfp/C-amorph-1-pmfp,hamaker-pmfp/C-amorph-1-PMFP.dat,1,1
C-amorph-3-pmfp,surface-pmfp/C-amorph-3-pmfp,hamaker-pmfp/C-amorph-3-PMFP.dat,1,1
mos2-001-pmfp,surface-pmfp/mos2-001-pmfp,hamaker-pmfp/mos2-001-PMFP.dat,1,1
ZnO1m210BOND-pmfp,surface-pmfp/ZnO1m210BOND-pmfp,hamaker-pmfp/ZnO1m210BOND-PMFP.dat,1,1
ZnO1m210NB-pmfp,surface-pmfp/ZnO1m210NB-pmfp,hamaker-pmfp/ZnO1m210NB-PMFP.dat,1,1
ZnO1m210NBDry-pmfp,surface-pmfp/ZnO1m210NBDry-pmfp,hamaker-pmfp/ZnO1m210NBDry-PMFP.dat,1,1
ZnO10m10BOND-pmfp,surface-pmfp/ZnO10m10BOND-pmfp,hamaker-pmfp/ZnO10m10BOND-PMFP.dat,1,1
ZnO10m10NB-pmfp,surface-pmfp/ZnO10m10NB-pmfp,hamaker-pmfp/ZnO10m10NB-PMFP.dat,1,1
ZnO10m10NBDry-pmfp,surface-pmfp/ZnO10m10NBDry-pmfp,hamaker-pmfp/ZnO10m10NBDry-PMFP.dat,1,1
Ag322-pmfp,surface-pmfp/Ag322-pmfp,hamaker-pmfp/Ag322-PMFP.dat,1,1
Ag332-pmfp,surface-pmfp/Ag332-pmfp,hamaker-pmfp/Ag332-PMFP.dat,1,1
ZnS-NP-pmfp,surface-pmfp/ZnS-NP-pmfp,hamaker-pmfp/ZnS-NP-PMFP.dat,1,1
ZnS-sphalerite-110-pmfp,surface-pmfp/ZnS-sphalerite-110-pmfp,hamaker-pmfp/ZnS-sphalerite-110-PMFP.dat,1,1
ZnS-sphalerite-110-coated-pmfp,surface-pmfp/ZnS-sphalerite-110-coated-pmfp,hamaker-pmfp/ZnS-sphalerite-110-coated-PMFP.dat,1,1
AuSphere1NM-pmfp,surface-pmfp/AuSphere1NM-pmfp,hamaker-pmfp/AuSphere1NM-PMFP.dat,1,1
hydroxyapatite-001-ph10-pmfp,surface-pmfp/hydroxyapatite-001-ph10-pmfp,hamaker-pmfp/hydroxyapatite-001-ph10-PMFP.dat,1,1
TricalciumSilicate-Wet-001-pmfp,surface-pmfp/TricalciumSilicate-Wet-001-pmfp,hamaker-pmfp/TricalciumSilicate-Wet-001-PMFP.dat,1,1
hydroxyapatite-010-ph10-pmfp,surface-pmfp/hydroxyapatite-010-ph10-pmfp,hamaker-pmfp/hydroxyapatite-010-ph10-PMFP.dat,1,1
TricalciumAluminate-Wet-010-pmfp,surface-pmfp/TricalciumAluminate-Wet-010-pmfp,hamaker-pmfp/TricalciumAluminate-Wet-010-PMFP.dat,1,1
TricalciumSilicate-Wet-010-pmfp,surface-pmfp/TricalciumSilicate-Wet-010-pmfp,hamaker-pmfp/TricalciumSilicate-Wet-010-PMFP.dat,1,1
Muscovite-001-pmfp,surface-pmfp/Muscovite-001-pmfp,hamaker-pmfp/Muscovite-001-PMFP.dat,1,1
hydroxyapatite-001-ph14-pmfp,surface-pmfp/hydroxyapatite-001-ph14-pmfp,hamaker-pmfp/hydroxyapatite-001-ph14-PMFP.dat,1,1
Gypsum-001-pmfp,surface-pmfp/Gypsum-001-pmfp,hamaker-pmfp/Gypsum-001-PMFP.dat,1,1
hydroxyapatite-101-ph5-pmfp,surface-pmfp/hydroxyapatite-101-ph5-pmfp,hamaker-pmfp/hydroxyapatite-101-ph5-PMFP.dat,1,1
TricalciumSilicate-Wet-100-pmfp,surface-pmfp/TricalciumSilicate-Wet-100-pmfp,hamaker-pmfp/TricalciumSilicate-Wet-100-PMFP.dat,1,1
hydroxyapatite-001-ph5-pmfp,surface-pmfp/hydroxyapatite-001-ph5-pmfp,hamaker-pmfp/hydroxyapatite-001-ph5-PMFP.dat,1,1
LithiumCobaltOxide-001-pmfp,surface-pmfp/LithiumCobaltOxide-001-pmfp,hamaker-pmfp/LithiumCobaltOxide-001-PMFP.dat,1,1
hydroxyapatite-010-ph14-pmfp,surface-pmfp/hydroxyapatite-010-ph14-pmfp,hamaker-pmfp/hydroxyapatite-010-ph14-PMFP.dat,1,1
Gypsum-011-pmfp,surface-pmfp/Gypsum-011-pmfp,hamaker-pmfp/Gypsum-011-PMFP.dat,1,1
hydroxyapatite-101-ph10-pmfp,surface-pmfp/hydroxyapatite-101-ph10-pmfp,hamaker-pmfp/hydroxyapatite-101-ph10-PMFP.dat,1,1
Pyrophyllite-001-pmfp,surface-pmfp/Pyrophyllite-001-pmfp,hamaker-pmfp/Pyrophyllite-001-PMFP.dat,1,1
Kaolinite-001-pmfp,surface-pmfp/Kaolinite-001-pmfp,hamaker-pmfp/Kaolinite-001-PMFP.dat,1,1
Gypsum-010-pmfp,surface-pmfp/Gypsum-010-pmfp,hamaker-pmfp/Gypsum-010-PMFP.dat,1,1
hydroxyapatite-101-ph14-pmfp,surface-pmfp/hydroxyapatite-101-ph14-pmfp,hamaker-pmfp/hydroxyapatite-101-ph14-PMFP.dat,1,1
hydroxyapatite-010-ph5-pmfp,surface-pmfp/hydroxyapatite-010-ph5-pmfp,hamaker-pmfp/hydroxyapatite-010-ph5-PMFP.dat,1,1
Tobermorite-004-pmfp,surface-pmfp/Tobermorite-004-pmfp,hamaker-pmfp/Tobermorite-004-PMFP.dat,1,1
TungstenDisulfide-001-pmfp,surface-pmfp/TungstenDisulfide-001-pmfp,hamaker-pmfp/TungstenDisulfide-001-PMFP.dat,1,1
SS304-111-pmfp,surface-pmfp/SS304-111-pmfp,hamaker-pmfp/SS304-111-PMFP.dat,1,1
Montmorillonite-001-CEC0-pmfp,surface-pmfp/Montmorillonite-001-CEC0-pmfp,hamaker-pmfp/Montmorillonite-001-CEC0-PMFP.dat,1,1
Montmorillonite-001-NaCEC87-pmfp,surface-pmfp/Montmorillonite-001-NaCEC87-pmfp,hamaker-pmfp/Montmorillonite-001-NaCEC87-PMFP.dat,1,1
Montmorillonite-001-NaCEC90-pmfp,surface-pmfp/Montmorillonite-001-NaCEC90-pmfp,hamaker-pmfp/Montmorillonite-001-NaCEC90-PMFP.dat,1,1
Montmorillonite-001-NaCEC108-pmfp,surface-pmfp/Montmorillonite-001-NaCEC108-pmfp,hamaker-pmfp/Montmorillonite-001-NaCEC108-PMFP.dat,1,1
Montmorillonite-001-NaCEC143-pmfp,surface-pmfp/Montmorillonite-001-NaCEC143-pmfp,hamaker-pmfp/Montmorillonite-001-NaCEC143-PMFP.dat,1,1
